S.No,Question,Answer,Specification,Time
1,"Question 1","vd",N/A,N/A
2,"Question 2","v",N/A,N/A
3,"Question 3","cv",N/A,N/A
4,"Question 4","Female",N/A,N/A
5,"Question 5","Fluent",N/A,N/A
6,"Question 6","Pursuing Master’s",N/A,N/A
7,"Question 7","State Board",cv ,N/A
8,"Question 8","State Board",cv,N/A
9,"Question 9","Only Child",N/A,N/A
10,"Question 10","c",N/A,N/A
11,"Question 11","above 20 lakhs (per annum)",N/A,N/A
12,"Question 12","Single-Parent",N/A,N/A
13,"Question 13","Mother - c v Father : vc",N/A,N/A
14,"Question 14","No, we lived in the same place throughout my childhood",N/A,N/A
15,"Question 15","No",N/A,N/A
16,"Question 16","c ",N/A,109 seconds
